,h,s,v,hasil,filename
0,80.15071678321678,216.6588811188811,124.0212937062937,unriped,unriped tomato_12
1,80.89582167832168,183.32,165.22697552447553,unriped,unriped tomato_14
2,82.57734265734265,228.09882867132868,153.04027972027973,unriped,unriped tomato_17
3,79.73005244755245,181.9745979020979,225.18664335664334,unriped,unriped tomato_23
4,81.63012237762237,214.77917832167833,151.10479020979022,unriped,unriped tomato_3
5,84.67458041958042,226.1370979020979,166.08713286713288,unriped,unriped tomato_38
6,85.01477272727273,108.02486013986014,222.4592832167832,unriped,unriped tomato_5
7,84.95578671328671,180.20473776223776,165.41466783216782,unriped,unriped tomato_8
8,83.63103146853148,169.84251748251748,162.40005244755244,unriped,unriped tomato_9
9,122.13195804195804,187.1223076923077,198.41150349650349,riped,Riped tomato_13
10,115.46571678321678,192.4630944055944,239.08926573426572,riped,Riped tomato_16
11,118.67272727272727,225.68641608391607,190.1320104895105,riped,Riped tomato_19
12,116.44816433566433,248.4395104895105,208.23127622377623,riped,Riped tomato_24
13,117.64486013986014,235.23594405594406,240.5391958041958,riped,Riped tomato_25
14,115.92267482517482,167.79718531468532,224.19772727272726,riped,Riped tomato_26
15,120.84339160839161,242.28445804195803,206.85468531468533,riped,Riped tomato_34
16,116.25617132867133,199.40089160839162,229.01052447552448,riped,Riped tomato_38
17,114.58328671328671,176.68987762237762,253.89344405594406,riped,Riped tomato_4
